part;var;de;en
admin;activate_groups;"Für Gruppen aktivieren";"Activate for Groups"
admin;allow_registration;"Kontoregistrierung erlauben";"Allow registration"
admin;ask_for_login;"Nach vorhandenem Login fragen";"Aks for exstisting Login"
admin;conf_description;"MassSubscription-Plugin Einstellungen";"MassSubscription-Plugin Settings"
admin;conf_title;"Einstellungen";"Settings"
admin;configuration_title;"Einstellungen";"Settings"
admin;enable_invitation;"Einladungen verschicken";"Send invitations"
admin;fixed_email;"E-Mailadresse in Registrierung kann nicht geändert werden";"User can't change E-Mail in registration"
admin_form_button;cancel;"Abbrechen";"Cancel"
admin_form_button;save;"Speichern";"Save"
admin;ignore_subtree;"Ignorieren Subtrees";"Ignore Subtrees"
admin;ignore_subtree_info;"Kommaseparierte Ref-IDS der Magazin-Nodes";"Comma-separated nodes"
admin;metadata_xml;"Pfad zur Metadata-XML";"Path to Metadata-XML"
admin;purge;"Nicht eingeschrieben/eingeladene Datensätze löschen";"Purge unused entries"
admin;save_succeed;"Einstellungen gespeichert";"Saved"
admin;send_mails;"Einschreibe-Mails versenden";"Send Registration-Mails"
admin;shibboleth;"SwitchAAI";"SwitchAAI"
admin;show_names;"Namen bestehender User anzeigen";"Show names of existing Users"
admin;system_user;"Systembenutzer";"Systemuser"
admin;use_email;"E-Mail für Zuordnung verwenden";"Use E-Mailfield"
admin;use_matriculation;"Matrikelnummer für Zuordnung verwenden";"Use Matriculation"
button;reload_lang_files;"Sprachdateien neu schreiben";"Rewrite languagefiles"
main;back;"Zurück";"Back"
main_field;emails_info;"Komma-separiert, mit neuer Zeile, Semikolon oder Leerschlag";"Seperated List of E-Mailadresses (Comma, Semicolon, ...)"
main_field;emails_title;"E-Mailadressen";"E-Mails"
main_field;matriculation_info;"Komma-separiert, mit neuer Zeile, Semikolon oder Leerschlag";"Seperated List of Matriculations (Comma, Semicolon, ...)"
main_field;matriculation_title;"Matrikelnummern";"Matriculations"
main_form_info_usage;1;"Fügen Sie hier eine Liste von E-Mailadressen ein, die Sie in Ihrem Kurs hinzufügen möchten. Personen, welche bereits über einen Account in ILIAS verfügen, können direkt eingeschrieben werden. Personen, welche noch keinen Account in ILIAS haben, können per E-Mail eingeladen werden.";"Insert a list of E-Mailadresses, which you'd like to assign to your course Existing users can be assigned, nonexisting can be invited."
main_form_info_usage;2;"Fügen Sie hier eine Liste von Matrikelnummern ein, die Sie in Ihrem Kurs hinzufügen möchten. Personen, welche bereits über einen Account in ILIAS verfügen, können direkt eingeschrieben werden. ";"Insert a list of matriculations, which you'd like to assign to your course. Existing users can be assigned."
main_form_info_usage;3;"Fügen Sie hier eine Liste von Matrikelnummern oder E-Mailadressen ein, die Sie in Ihrem Kurs hinzufügen möchten. Personen, welche bereits über einen Account in ILIAS verfügen, können direkt eingeschrieben werden. ";"Insert a list of matriculations or e-mails, which you'd like to assign to your course. Existing users can be assigned."
main_form_title_usage;1;"Mitglied(er) per E-Mail einladen";"Subscription with E-Mail list"
main_form_title_usage;2;"Mitglied(er) per Matrikelnummernliste hinzufügen";"Subscription with matriculation list"
main_form_title_usage;3;"Mitglied(er) per E-Mail oder Matrikelnummer hinzufügen";"Subscription with Mail or Matriculation"
main;msg_emails_sent;"Vorhandene ILIAS Mitglieder wurden eingeschrieben, an die anderen wurde ein Einladungsmail verschickt. Benutzer, die sich durch den Link in dem Mail registrieren werden automatisch zum Kurs hinzugef�gt.";"Vorhandene ILIAS Mitglieder wurden eingeschrieben, an die anderen wurde ein Einladungsmail verschickt. Benutzer, die sich durch den Link in dem Mail registrieren werden automatisch zum Kurs hinzugefügt."
main;msg_triage_finished;"Die gewünschten Aktionen wurden ausgeführt";"The users have been assigned"
main;no;"Nein";"No"
main;not_invalid_token;"Der angegebene Link ist entweder ungültig oder wurde bereits für eine Registrierung benutzt.";"The Link has arleady been used. Please log in to ILIAS"
